44b5c52a-c2f1-46dc-b9c3-2429b400b283,69.481368,2022-05-12 18:27:30 +0400 +04
7be97e7e-157d-4fe9-ae14-ff763b661be3,88.083967,2022-12-23 17:27:30 +0400 +04
8ede135c-affe-485e-b8b4-1102299bebdf,51.250538,2022-07-02 17:27:30 +0400 +04
aaaf4ade-5f32-4555-b010-003e2c230d61,77.087852,2022-11-27 16:27:30 +0400 +04
b850a1f2-b7f6-40e4-af49-b2220f167f0d,84.155459,2023-03-23 22:27:30 +0400 +04
ce9d9b25-e9e0-4651-b3fa-88c41f9bc231,54.650171,2023-04-04 19:27:30 +0400 +04
1b219609-6e19-4aad-9f5c-21e3c938431f,7.805637,2023-01-28 18:27:30 +0400 +04
d12ad10e-4a8e-46e7-abe3-7dfb74f997a0,96.091455,2022-09-22 05:27:30 +0400 +04
6dbd77eb-f3fd-4606-86d1-a17c74d37bd8,18.209347,2022-05-26 17:27:30 +0400 +04
b174dca6-2cc3-4af8-8912-b39703e8d5b2,12.024648,2023-03-24 02:27:30 +0400 +04
